id,Company Name,Cmt_day,Title,What I liked,Suggestions for improvement,Rating,Salary & benefits,Training & learning,Management cares about me,Culture & fun,Office & workspace,Recommend?,raw_review_text,clean_basic_text,pos_w,neg_w,pos_e,neg_e,total_we,sentiment_ratio,clean_advance_text,sentiment
4,Accenture,March 2025,"Môi trường thoải mái, ít áp lực, có thể làm việc hybrid, lương ở mức khá.","Môi trường thoải mái, ít áp lực, có thể làm việc hybrid, lương nên deal tốt từ lúc đầu, vì mức tăng mỗi năm ko cao. Các benefit còn lại cơ bản đầy đủ.
Vì là công ty IT service nên có nhiều thứ để trau dồi và cải thiện chuyên môn
Rất ít khi OT, nếu có OT thì trả lương OT đầy đủ theo luật.","Cần đánh giá KPI khách quan và phân chia công việc chuyên nghiệp, match với khả năng, trình độ của nhân viên.",4,4,4,4,4,4,Yes,"Môi trường thoải mái, ít áp lực, có thể làm việc hybrid, lương ở mức khá. . Môi trường thoải mái, ít áp lực, có thể làm việc hybrid, lương nên deal tốt từ lúc đầu, vì mức tăng mỗi năm ko cao. Các benefit còn lại cơ bản đầy đủ.
Vì là công ty IT service nên có nhiều thứ để trau dồi và cải thiện chuyên môn
Rất ít khi OT, nếu có OT thì trả lương OT đầy đủ theo luật. . Cần đánh giá KPI khách quan và phân chia công việc chuyên nghiệp, match với khả năng, trình độ của nhân viên.",môi trường thoải mái ít áp lực có thể làm việc hybrid lương ở mức khá môi trường thoải mái ít áp lực có thể làm việc hybrid lương nên thỏa thuận tốt từ lúc đầu vì mức tăng mỗi năm không cao các phúc lợi còn lại cơ bản đầy đủ vì là công ty nó dịch vụ nên có nhiều thứ để trau dồi và cải thiện chuyên môn rất ít khi ot nếu có làm thêm giờ thì trả lương làm thêm giờ đầy đủ theo luật cần đánh giá chỉ tiêu hiệu suất khách quân và phân chia công việc chuyên nghiệp match với khả năng trình độ của nhân viên,6,3,0,0,9,0.3333,môi_trường thoải_mái áp_lực làm_việc hybrid lương môi_trường thoải_mái áp_lực làm_việc hybrid lương thỏa_thuận tốt đầu không phúc_lợi cơ_bản đầy_đủ công_ty dịch_vụ trau_dồi cải_thiện chuyên_môn ot lương đầy_đủ luật chỉ_tiêu hiệu_suất quân phân_chia công_việc chuyên_nghiệp match khả_năng trình_độ,Positive
4,Accenture,January 2025,Công ty trẻ trung năng động,"Cơ sở vật chất đẹp, công ty trẻ trung năng động. Chế độ làm việc hybrid giờ giấc khá thoải mái.
Tuỳ dự án có thể có ot hoặc không, tuy nhiên nếu có thì sẽ được trả theo hệ số đầy đủ theo quy định.",Nên nghiên cứu lại range lương của thì trường. Site Vietnam được mapping level khá thấp so với khu vực.,4,3,4,4,4,5,Yes,"Công ty trẻ trung năng động . Cơ sở vật chất đẹp, công ty trẻ trung năng động. Chế độ làm việc hybrid giờ giấc khá thoải mái.
Tuỳ dự án có thể có ot hoặc không, tuy nhiên nếu có thì sẽ được trả theo hệ số đầy đủ theo quy định. . Nên nghiên cứu lại range lương của thì trường. Site Vietnam được mapping level khá thấp so với khu vực.",công ty trẻ trung năng động cơ sở vật chất đẹp công ty trẻ trung năng động chế độ làm việc làm việc kết hợp giờ giấc khá thoải mái tuỳ dự án có thể có làm thêm giờ hoặc không tuy nhiên nếu có thì sẽ được trả theo hệ số đầy đủ theo quy định nên nghiên cứu lại range lương của thì trường địa điểm việt nam được lập bản đồ cấp độ khá thấp so với khu vực,5,1,0,0,6,0.6667,công_ty trẻ trung_năng động_cơ_sở_vật_chất đẹp công_ty trẻ trung_năng_động chế_độ làm_việc làm_việc kết_hợp giờ_giấc thoải_mái tùy dự_án không hệ_số đầy_đủ quy_định nghiên_cứu range lương trường địa_điểm việt_nam lập bản_đồ cấp_độ,Positive
4,Accenture,October 2023,Môi trường làm việc thoải mái vui vẻ,"Mội người thân thiện, giúp đỡ lẫn nhau. Chương trình Internship chuyên nghiệp được tổ chức bài bản
Khá hài lòng do muốn hoàn thành công việc nên OT chứ không phải công ty yêu cầu, mỗi tội hơi nóng do sau 6h tòa nhà tắt máy lạnh",Do công ty làm outsourcing về mảng system nên thường sẽ nghe theo khách hàng nên sẽ khó có tính sáng tạo trong công việc,3,3,3,3,3,3,Yes,"Môi trường làm việc thoải mái vui vẻ . Mội người thân thiện, giúp đỡ lẫn nhau. Chương trình Internship chuyên nghiệp được tổ chức bài bản
Khá hài lòng do muốn hoàn thành công việc nên OT chứ không phải công ty yêu cầu, mỗi tội hơi nóng do sau 6h tòa nhà tắt máy lạnh . Do công ty làm outsourcing về mảng system nên thường sẽ nghe theo khách hàng nên sẽ khó có tính sáng tạo trong công việc",môi trường làm việc thoải mái vui vẻ mội người thân thiện giúp đỡ lẫn nhau chương trình internship chuyên nghiệp được tổ chức bài bản khá hài lòng làm muốn hoàn thành công việc nên làm thêm giờ chứ không phải công ty yêu cầu mỗi tội hơi nóng làm sau 6h tòa nhà tắt máy lạnh làm công ty làm outsourcing về mảng system nên thường sẽ nghệ theo khách hàng nên sẽ khó có tính sáng tạo trọng công việc,6,1,0,0,7,0.7143,môi_trường làm_việc thoải_mái vui_vẻ mội thân_thiện giúp_đỡ lẫn chương_trình internship chuyên_nghiệp tổ_chức bài_bản hài_lòng hoàn_thành công_việc không công_ty tội hơi nóng 6 h tòa tắt máy_lạnh công_ty outsourcing mảng system nghệ khách_hàng sáng_tạo công_việc,Neutral
4,Accenture,February 2025,good environment for fresher,"good env. for fresher to learn and improve their ability
quiet opened and flexible working time
depend on teams and lead to provide OT conpensation",Need to forcus more on benefit and evaluate contribution of qualified employee,3,2,2,3,4,4,No,"good environment for fresher . good env. for fresher to learn and improve their ability
quiet opened and flexible working time
depend on teams and lead to provide OT conpensation . Need to forcus more on benefit and evaluate contribution of qualified employee",tốt environment for fresher tốt env for fresher đến learn và improve của chúng ability yên tĩnh opened và flexible working thời gian depend trên teams và chì đến provide làm thêm giờ conpensation nhu cầu đến forcus hơn trên phúc lợi và evaluate contribution của qualified nhân viên,4,0,0,0,4,1.0,tốt environment for fresher tốt env for fresher learn improve ability yên_tĩnh opened flexible working depend teams chì provide conpensation nhu_cầu forcus phúc_lợi evaluate_contribution qualified,Neutral
4,Accenture,February 2023,"Môi trường làm việc thoải mái, vui vẻ","- Văn phòng đẹp, cơ sở vật chất tốt
- Sếp và đồng nghiệp rất thân thiện
- Đồng nghiệp vui vẻ, thân thiện, supportive
- Môi trường làm việc thoải mái, vui vẻ
- Có nhiều cơ hội để đào tạo & phát triển","- Phát triển văn phòng để rộng rãi hơn
- Công ty lớn nên 1 số quy trình còn phức tạp",4,3,4,4,4,3,Yes,"Môi trường làm việc thoải mái, vui vẻ . - Văn phòng đẹp, cơ sở vật chất tốt
- Sếp và đồng nghiệp rất thân thiện
- Đồng nghiệp vui vẻ, thân thiện, supportive
- Môi trường làm việc thoải mái, vui vẻ
- Có nhiều cơ hội để đào tạo & phát triển . - Phát triển văn phòng để rộng rãi hơn
- Công ty lớn nên 1 số quy trình còn phức tạp",môi trường làm việc thoải mái vui vẻ văn phòng đẹp cơ sở vật chất tốt sếp và đồng nghiệp rất thân thiện đồng nghiệp vui vẻ thân thiện supportive môi trường làm việc thoải mái vui vẻ có nhiều cơ hội để đào tạo phát triển phát triển văn phòng để rộng rãi hơn công ty lớn nên 1 số quy trình còn phức tạp,12,1,0,0,13,0.8462,môi_trường làm_việc thoải_mái vui_vẻ văn_phòng đẹp cơ_sở vật_chất tốt_sếp đồng_nghiệp thân_thiện đồng_nghiệp vui_vẻ thân_thiện supportive môi_trường làm_việc thoải_mái vui_vẻ đào_tạo phát_triển phát_triển văn_phòng rộng_rãi công_ty 1 quy_trình phức_tạp,Positive
4,Accenture,October 2022,"Môi trường làm việc năng động, hiện đại, thân thiện","- Được cấp laptop làm việc
- Môi trường làm việc thân thiện, vui vẻ
- Pantry đầy đủ tiện ích (lò vi sóng + tủ lạnh + chén đũa, máy pha cà phê,...)
- PS4 + bàn bi lắc để giải trí
Tùy team mà có OT hay không. Có quy định và lương OT cụ thể",Mua thêm bánh kẹo và nước ngọt để phục vụ đời sống nhân viên được tốt hơn,4,4,4,4,5,4,Yes,"Môi trường làm việc năng động, hiện đại, thân thiện . - Được cấp laptop làm việc
- Môi trường làm việc thân thiện, vui vẻ
- Pantry đầy đủ tiện ích (lò vi sóng + tủ lạnh + chén đũa, máy pha cà phê,...)
- PS4 + bàn bi lắc để giải trí
Tùy team mà có OT hay không. Có quy định và lương OT cụ thể . Mua thêm bánh kẹo và nước ngọt để phục vụ đời sống nhân viên được tốt hơn",môi trường làm việc năng động hiện đại thân thiện được cấp máy tính xách tay làm việc môi trường làm việc thân thiện vui vẻ pantry đầy đủ tiện ích lò vi sóng tủ lạnh chén đũa máy pha cà phê ps4 bàn bi lắc để giải trí tùy đội mà có làm thêm giờ cỏ khô không có quy định và lương làm thêm giờ cụ thể mua thêm bánh kẹo và nước ngọt để phục vụ đời sống nhân viên được tốt hơn,8,1,0,0,9,0.7778,môi_trường làm_việc năng_động hiện_đại thân_thiện máy_tính_xách_tay làm_việc môi_trường làm_việc thân_thiện vui_vẻ pantry đầy_đủ tiện_ích lò_vi sóng tủ_lạnh chén đũa máy pha cà_phê ps4 bàn bi_lắc giải_trí tùy_đội cỏ khô không quy_định lương mua bánh_kẹo nước_ngọt phục_vụ đời_sống tốt,Positive
4,Accenture,October 2022,Sếp tốt - Đồng nghiệp xịn- Nhân sự supportive,"- Cấp lap mới khi đi làm
- Có cafe pha máy thuận tiện
- Có chỗ chơi game giải trí
Hợp lí, chính sách rõ ràng minh bạch
Thời gian ca làm việc hợp lí nếu có OT OC",- Văn phòng rộng hơn tí thì sẽ thoải mái hơn nè còn lại thì ok lắm,4,4,5,5,5,4,Yes,"Sếp tốt - Đồng nghiệp xịn- Nhân sự supportive . - Cấp lap mới khi đi làm
- Có cafe pha máy thuận tiện
- Có chỗ chơi game giải trí
Hợp lí, chính sách rõ ràng minh bạch
Thời gian ca làm việc hợp lí nếu có OT OC . - Văn phòng rộng hơn tí thì sẽ thoải mái hơn nè còn lại thì ok lắm",sếp tốt đồng nghiệp xịn nhân sự supportive cấp lap mới khi đi làm có quán cà phê pha máy thuận tiện có chỗ chơi trò chơi giải trí hợp lí chính sách rõ ràng minh bạch thời gian ca làm việc hợp lí nếu có làm thêm giờ oc văn phòng rộng hơn tí thì sẽ thoải mái hơn nè còn lại thì đồng ý lắm,8,0,0,0,8,1.0,sếp tốt đồng_nghiệp xịn_nhân_sự supportive lap đi quán cà_phê pha máy thuận_tiện chỗ trò_chơi giải_trí hợp_lí chính_sách rõ_ràng minh_bạch ca làm_việc hợp_lí oc văn_phòng rộng tí thoải_mái nè đồng_ý lắm,Positive
4,Accenture,October 2022,Môi trường đa quốc gia xịn xò,"- Laptop và các thiết bị khá xịn xò
- Môi trường có nhiều cơ hội rèn luyện tiếng Anh
- Đồng nghiệp trẻ, thân thiện
- Nhiều cơ hội để rèn luyện skills về kỹ thuật
Lương OT - OC khá rõ ràng
Có team OT nhiều, team OT ít","Số lượng nhân viên tăng dẫn tới văn phòng hơi chật, cần mở rộng thêm",4,4,4,4,4,2,Yes,"Môi trường đa quốc gia xịn xò . - Laptop và các thiết bị khá xịn xò
- Môi trường có nhiều cơ hội rèn luyện tiếng Anh
- Đồng nghiệp trẻ, thân thiện
- Nhiều cơ hội để rèn luyện skills về kỹ thuật
Lương OT - OC khá rõ ràng
Có team OT nhiều, team OT ít . Số lượng nhân viên tăng dẫn tới văn phòng hơi chật, cần mở rộng thêm",môi trường đa quốc gia xịn xò máy tính xách tay và các thiết bị khá xịn xò môi trường có nhiều cơ hội rèn luyện tiếng anh đồng nghiệp trẻ thân thiện nhiều cơ hội để rèn luyện skills về kỹ thuật lương làm thêm giờ oc khá rõ ràng có đội làm thêm giờ nhiều đội làm thêm giờ ít số lượng nhân viên tăng dẫn tới văn phòng hơi chật cần mở rộng thêm,7,2,0,0,9,0.5556,môi_trường đa quốc_gia xịn xò máy_tính_xách_tay thiết_bị xịn_xò môi_trường rèn_luyện tiếng đồng_nghiệp trẻ thân_thiện rèn_luyện skills kỹ_thuật lương oc rõ_ràng đội đội số_lượng văn_phòng hơi chật_cần mở_rộng,Positive
4,Accenture,October 2022,"Sếp tốt, đồng nghiệp rất hòa đồng và hỗ trợ nhau","Sếp rất thân thiện, luôn cười và luôn có cách hỗ trợ nhân viên.
Được học các chứng chỉ Cloud và các chương trình chuyên môn của Global
Được luyện tiếng Anh mỗi ngày.
Luôn thông tin trước và tôn trọng thời gian của nhân viên",Công việc và Sếp đều ổn nên không có gì hơn. Nếu có sẽ cập nhật tiếp.,5,5,5,5,5,5,Yes,"Sếp tốt, đồng nghiệp rất hòa đồng và hỗ trợ nhau . Sếp rất thân thiện, luôn cười và luôn có cách hỗ trợ nhân viên.
Được học các chứng chỉ Cloud và các chương trình chuyên môn của Global
Được luyện tiếng Anh mỗi ngày.
Luôn thông tin trước và tôn trọng thời gian của nhân viên . Công việc và Sếp đều ổn nên không có gì hơn. Nếu có sẽ cập nhật tiếp.",sếp tốt đồng nghiệp rất hòa đồng và hỗ trợ nhau sếp rất thân thiện luôn cười và luôn có cách hỗ trợ nhân viên được học các chứng chỉ đám mây và các chương trình chuyên môn của toàn cầu được luyện tiếng anh mỗi ngày luôn thông thiếc trước và tôn trọng thời gian của nhân viên công việc và sếp đều ổn nên không có gì hơn nếu có sẽ cập nhật tiếp,7,1,0,0,8,0.75,sếp tốt đồng_nghiệp hòa đồng sếp thân_thiện cười học chứng_chỉ đám mây chương_trình chuyên_môn toàn_cầu luyện tiếng thông_thiếc tôn_trọng công_việc sếp ổn không cập_nhật tiếp,Positive
4,Accenture,October 2022,Great place to work,"Dynamic and young work force
Great working environment (music band, gym, relax corners, PS4, Baby foot, ping-pong table etc.)
Allowances (lunch, parking)
Travel opportunities (Intersites mobility)
Team activities (CSR, team buildings, company trips)
Full social insurance, unemployment insurance, health insurance
Personal incident and health insurance
Dynamic and young work force","Up to now all of things so far so good and I think nothing to change
Notthing",5,5,5,5,5,5,Yes,"Great place to work . Dynamic and young work force
Great working environment (music band, gym, relax corners, PS4, Baby foot, ping-pong table etc.)
Allowances (lunch, parking)
Travel opportunities (Intersites mobility)
Team activities (CSR, team buildings, company trips)
Full social insurance, unemployment insurance, health insurance
Personal incident and health insurance
Dynamic and young work force . Up to now all of things so far so good and I think nothing to change
Notthing",tuyệt quá địa điểm đến công việc dynamic và young công việc lực lượng tuyệt quá working environment music band gym thư giãn corners ps4 đứa bé foot ping pong table etc allowances lunch parking du lịch opportunities intersites mobility đội hoạt động csr đội buildings công ty trips đầy xã hội insurance unemployment insurance sức khỏe bảo hiểm personal incident và sức khỏe bảo hiểm dynamic và young công việc lực lượng lên đến hiện nay tất cả của things so far so tốt và tôi suy nghĩ không có gì đến thay đổi notthing,5,1,0,0,6,0.6667,tuyệt địa_điểm công_việc dynamic young công_việc lực_lượng tuyệt working environment music band gym thư_giãn corners ps4 đứa bé foot ping pong table etc allowances lunch parking du_lịch opportunities intersites mobility_đội hoạt_động csr đội buildings công_ty trips xã_hội insurance unemployment insurance sức khỏe bảo_hiểm personal incident sức_khỏe bảo_hiểm dynamic young công_việc lực_lượng things far tốt suy_nghĩ không notthing,Positive
